2009140001,,今日推荐,101,101,,100,,1,,0,
1,2009140001,奥特曼联盟（英雄传说）,101,0,icon_1_1,0,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/doctor2/
2,2009140001,小姐姐快跑,1,0,icon_1_2,1,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/girl3_1/
3,2009140001,水上冲冲冲,1,0,icon_1_3,2,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/face1/
4,2009140001,赛车越野竞技,1,0,icon_1_4,3,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/girl5_1/
5,2009140001,大刀冲冲冲,1,0,icon_1_5,4,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/slice2/
6,2009140001,豆豆探险闯关,1,0,icon_1_6,5,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
2009140002,,新游推荐,101,101,,101,,0,,0,
1,2009140002,萌趣涂涂乐,1,0,icon_1_8,0,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
2,2009140002,我跳绳贼帅,1,0,icon_1_9,1,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
3,2009140002,双人大比拼2,1,0,icon_1_10,2,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
4,2009140002,是杀手就上100层,1,0,icon_1_11,3,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
5,2009140002,极限60码,1,0,icon_1_12,4,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
6,2009140002,涂了个色,1,0,icon_1_13,5,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
2009140003,,创意游戏,102,101,,102,,1,,0,
1,2009140003,治疗萌芽熊,1,0,icon_1_15,0,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
2,2009140003,家居改造王,1,0,icon_1_16,1,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
3,2009140003,我的安吉拉,1,0,icon_1_17,2,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
4,2009140003,梦幻拼图,1,0,icon_1_18,3,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
5,2009140003,外婆的小农院,1,0,icon_1_19,4,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
6,2009140003,家长模拟器,1,0,icon_1_20,5,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
7,2009140003,扶老豆回家,1,0,icon_1_21,6,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
8,2009140003,植物大战僵尸2未来,1,0,icon_1_22,7,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
2009140004,,精品新游,102,101,,103,,1,202011250930-202011260930,0,
1,2009140004,香肠人大冒险,2,0,icon_1_24,0,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
2,2009140004,萌芽熊大作战,2,0,icon_1_25,1,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
3,2009140004,节奏悦动,2,0,icon_1_26,2,游戏描述,0,,1,https://cdnminigame.lightlygame.com/gc/30/
2009140006,,排行榜,104,201,,100,,1,,0,
1,2009140006,贪吃蛇大作战,3,0,icon_1_15,0,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
2,2009140006,全民枪神,3,0,icon_1_16,1,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
3,2009140006,恐龙机甲,3,0,icon_1_17,2,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
4,2009140006,奥特曼之格斗超人,3,0,icon_1_18,3,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
5,2009140006,迷你世界枪战精英,3,0,icon_1_19,4,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
6,2009140006,奇妙美味日记,3,0,icon_1_20,5,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
7,2009140006,模拟快递员,3,0,icon_1_21,6,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
8,2009140006,名侦探老王,3,0,icon_1_22,7,游戏描述,1,,1,https://cdnminigame.lightlygame.com/gc/30/
